id,company_id,title,description,location_city,country,contract_type,created_at,is_active,hired_consultant_id,latitude,longitude
3,2,programming with SQL,"We zoeken een consultant voor een programmeerproject waarbij je een sleutelrol speelt in het opzetten, verbeteren en onderhouden van datagedreven oplossingen. Je werkt nauw samen met ons team om eisen te vertalen naar duidelijke technische stappen. Je bouwt SQL-queries, optimaliseert bestaande scripts en ondersteunt bij het ontwerpen van datamodellen. Je zorgt voor heldere documentatie en geeft praktisch advies over verbeteringen. Ervaring met databases, gestructureerd werken en zelfstandig problemen oplossen is belangrijk.",Hooglede,Belgium,freelance,2025-11-22 12:40:18.642651+00,false,24,,
5,15,Operations,"We are looking for a detail-oriented and proactive Operations Specialist to support and optimize daily business activities. In this role, you will coordinate processes, improve workflows, and ensure smooth operational performance across departments. You will play a key part in maintaining efficiency, quality, and consistency in our day-to-day operations.",Kortrijk,Belgium,Freelance,2025-11-23 13:07:12.80765+00,true,,50.827643,3.265988
7,11,Project Manager,"Als Project Manager neem jij de leiding over diverse projecten van initiatie tot oplevering. Je bewaakt planning, budget en kwaliteit, en zorgt dat alle betrokken stakeholders soepel samenwerken. Je bent de drijvende kracht achter een gestructureerde aanpak en weet complexe uitdagingen om te zetten in overzichtelijke stappen en haalbare doelen.",Gent,België,Freelance,2025-11-24 08:22:26.328783+00,false,24,,
10,11,Project Lead,"A Project Lead is responsible for guiding a project from initiation to completion, coordinating tasks, managing timelines, and ensuring that the team delivers high-quality results aligned with the project's goals.",Antwerp,Belgium,Freelance,2025-12-01 15:20:10.04205+00,false,5,,
11,2,Excel Expert,We need an expert in excel to manage our finances.,Brussels,Belgium,Part-time,2025-12-02 10:54:22.206741+00,true,,,
14,2,Negotiation Job,Negotiate in team.,Paris,France,Project-based,2025-12-04 16:38:53.252585+00,false,5,,
18,24,Data Consultant – Operations,"You will analyse operational performance data, build predictive models and advise clients on how to reduce bottlenecks. The role includes setting up data pipelines, interpreting trends and helping teams translate insights into practical improvements.",Zürich,Switserland,Part-time,2025-12-07 11:29:37.633042+00,false,69,47.369733,8.541096
19,24,Risk & Compliance Analyst,"You support clients by developing dashboards, mapping risks and reviewing internal controls. You also help set up monitoring routines and document compliance findings so that organisations can respond quickly to emerging issues.",Antwerp,Belgium,Full-time,2025-12-07 11:32:44.444064+00,true,,51.22111,4.399708
20,24,Risk & Compliance Analyst,"You support clients by developing dashboards, mapping risks and reviewing internal controls. You also help set up monitoring routines and document compliance findings so that organisations can respond quickly to emerging issues.",Antwerp,Belgium,Full-time,2025-12-07 11:32:45.245342+00,true,,51.22111,4.399708
22,25,Project Consultant – Civil Engineering,"You provide technical support for infrastructure projects, including material selection, construction sequencing and cost planning. You work closely with engineers and contractors to identify risks and ensure smooth project execution.",Amsterdam,Netherlands,Full-time,2025-12-07 11:36:09.620106+00,true,,52.378,4.9
